i,Variable,Definition
306,PCIP09,"Percentage of degrees awarded in Communication, Journalism, And Related Programs."
307,PCIP10,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.
308,PCIP11,Percentage of degrees awarded in Computer And Information Sciences And Support Services.
309,PCIP12,Percentage of degrees awarded in Personal And Culinary Services.
310,PCIP13,Percentage of degrees awarded in Education.
311,PCIP14,Percentage of degrees awarded in Engineering.
312,PCIP15,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.
313,PCIP16,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics."
314,PCIP19,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.
315,PCIP22,Percentage of degrees awarded in Legal Professions And Studies.
316,PCIP23,Percentage of degrees awarded in English Language And Literature/Letters.
317,PCIP24,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities."
318,PCIP25,Percentage of degrees awarded in Library Science.
319,PCIP26,Percentage of degrees awarded in Biological And Biomedical Sciences.
320,PCIP27,Percentage of degrees awarded in Mathematics And Statistics.
321,PCIP29,Percentage of degrees awarded in Military Technologies And Applied Sciences.
322,PCIP30,Percentage of degrees awarded in Multi/Interdisciplinary Studies.
323,PCIP31,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies."
324,PCIP38,Percentage of degrees awarded in Philosophy And Religious Studies.
325,PCIP39,Percentage of degrees awarded in Theology And Religious Vocations.
326,PCIP40,Percentage of degrees awarded in Physical Sciences.
327,PCIP41,Percentage of degrees awarded in Science Technologies/Technicians.
328,PCIP42,Percentage of degrees awarded in Psychology.
329,PCIP43,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
330,PCIP44,Percentage of degrees awarded in Public Administration And Social Service Professions.
331,PCIP45,Percentage of degrees awarded in Social Sciences.
332,PCIP46,Percentage of degrees awarded in Construction Trades.
333,PCIP47,Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.
334,PCIP48,Percentage of degrees awarded in Precision Production.
335,PCIP49,Percentage of degrees awarded in Transportation And Materials Moving.
336,PCIP50,Percentage of degrees awarded in Visual And Performing Arts.
337,PCIP51,Percentage of degrees awarded in Health Professions And Related Programs.
338,PCIP52,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services."
339,PCIP54,Percentage of degrees awarded in History.
340,CIP01CERT1,"Certificate of less than one academic year in Agriculture, Agriculture Operations, And Related Sciences."
341,CIP01CERT2,"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences."
342,CIP01ASSOC,"Associate degree in Agriculture, Agriculture Operations, And Related Sciences."
343,CIP01CERT4,"Award of at least two but less than four academic years in Agriculture, Agriculture Operations, And Related Sciences."
344,CIP01BACHL,"Bachelor's degree in Agriculture, Agriculture Operations, And Related Sciences."
345,CIP03CERT1,Certificate of less than one academic year in Natural Resources And Conservation.
346,CIP03CERT2,Certificate of at least one but less than two academic years in Natural Resources And Conservation.
347,CIP03ASSOC,Associate degree in Natural Resources And Conservation.
348,CIP03CERT4,Award of at least two but less than four academic years in Natural Resources And Conservation.
349,CIP03BACHL,Bachelor's degree in Natural Resources And Conservation.
350,CIP04CERT1,Certificate of less than one academic year in Architecture And Related Services.
351,CIP04CERT2,Certificate of at least one but less than two academic years in Architecture And Related Services.
352,CIP04ASSOC,Associate degree in Architecture And Related Services.
353,CIP04CERT4,Award of at least two but less than four academic years in Architecture And Related Services.
354,CIP04BACHL,Bachelor's degree in Architecture And Related Services.
355,CIP05CERT1,"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies."
356,CIP05CERT2,"Certificate of at least one but less than two academic years in Area, Ethnic, Cultural, Gender, And Group Studies."
357,CIP05ASSOC,"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies."
358,CIP05CERT4,"Award of at least two but less than four academic years in Area, Ethnic, Cultural, Gender, And Group Studies."
359,CIP05BACHL,"Bachelor's degree in Area, Ethnic, Cultural, Gender, And Group Studies."
360,CIP09CERT1,"Certificate of less than one academic year in Communication, Journalism, And Related Programs."
361,CIP09CERT2,"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs."
362,CIP09ASSOC,"Associate degree in Communication, Journalism, And Related Programs."
363,CIP09CERT4,"Award of at least two but less than four academic years in Communication, Journalism, And Related Programs."
364,CIP09BACHL,"Bachelor's degree in Communication, Journalism, And Related Programs."
365,CIP10CERT1,Certificate of less than one academic year in Communications Technologies/Technicians And Support Services.
366,CIP10CERT2,Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.
367,CIP10ASSOC,Associate degree in Communications Technologies/Technicians And Support Services.
368,CIP10CERT4,Award of at least two but less than four academic years in Communications Technologies/Technicians And Support Services.
369,CIP10BACHL,Bachelor's degree in Communications Technologies/Technicians And Support Services.
370,CIP11CERT1,Certificate of less than one academic year in Computer And Information Sciences And Support Services.
371,CIP11CERT2,Certificate of at least one but less than two academic years in Computer And Information Sciences And Support Services.
372,CIP11ASSOC,Associate degree in Computer And Information Sciences And Support Services.
373,CIP11CERT4,Award of at least two but less than four academic years in Computer And Information Sciences And Support Services.
374,CIP11BACHL,Bachelor's degree in Computer And Information Sciences And Support Services.
375,CIP12CERT1,Certificate of less than one academic year in Personal And Culinary Services.
376,CIP12CERT2,Certificate of at least one but less than two academic years in Personal And Culinary Services.
377,CIP12ASSOC,Associate degree in Personal And Culinary Services.
378,CIP12CERT4,Award of at least two but less than four academic years in Personal And Culinary Services.
379,CIP12BACHL,Bachelor's degree in Personal And Culinary Services.
380,CIP13CERT1,Certificate of less than one academic year in Education.
381,CIP13CERT2,Certificate of at least one but less than two academic years in Education.
382,CIP13ASSOC,Associate degree in Education.
383,CIP13CERT4,Award of at least two but less than four academic years in Education.
384,CIP13BACHL,Bachelor's degree in Education.
385,CIP14CERT1,Certificate of less than one academic year in Engineering.
386,CIP14CERT2,Certificate of at least one but less than two academic years in Engineering.
387,CIP14ASSOC,Associate degree in Engineering.
388,CIP14CERT4,Award of at least two but less than four academic years in Engineering.
389,CIP14BACHL,Bachelor's degree in Engineering.
390,CIP15CERT1,Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.
391,CIP15CERT2,Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields.
392,CIP15ASSOC,Associate degree in Engineering Technologies And Engineering-Related Fields.
393,CIP15CERT4,Award of at least two but less than four academic years in Engineering Technologies And Engineering-Related Fields.
394,CIP15BACHL,Bachelor's degree in Engineering Technologies And Engineering-Related Fields.
395,CIP16CERT1,"Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics."
396,CIP16CERT2,"Certificate of at least one but less than two academic years in Foreign Languages, Literatures, And Linguistics."
397,CIP16ASSOC,"Associate degree in Foreign Languages, Literatures, And Linguistics."
398,CIP16CERT4,"Award of at least two but less than four academic years in Foreign Languages, Literatures, And Linguistics."
399,CIP16BACHL,"Bachelor's degree in Foreign Languages, Literatures, And Linguistics."
400,CIP19CERT1,Certificate of less than one academic year in Family And Consumer Sciences/Human Sciences.
401,CIP19CERT2,Certificate of at least one but less than two academic years in Family And Consumer Sciences/Human Sciences.
402,CIP19ASSOC,Associate degree in Family And Consumer Sciences/Human Sciences.
403,CIP19CERT4,Award of at least two but less than four academic years in Family And Consumer Sciences/Human Sciences.
404,CIP19BACHL,Bachelor's degree in Family And Consumer Sciences/Human Sciences.
405,CIP22CERT1,Certificate of less than one academic year in Legal Professions And Studies.
406,CIP22CERT2,Certificate of at least one but less than two academic years in Legal Professions And Studies.
407,CIP22ASSOC,Associate degree in Legal Professions And Studies.
408,CIP22CERT4,Award of at least two but less than four academic years in Legal Professions And Studies.
409,CIP22BACHL,Bachelor's degree in Legal Professions And Studies.
410,CIP23CERT1,Certificate of less than one academic year in English Language And Literature/Letters.
411,CIP23CERT2,Certificate of at least one but less than two academic years in English Language And Literature/Letters.
412,CIP23ASSOC,Associate degree in English Language And Literature/Letters.
413,CIP23CERT4,Award of at least two but less than four academic years in English Language And Literature/Letters.
414,CIP23BACHL,Bachelor's degree in English Language And Literature/Letters.
415,CIP24CERT1,"Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities."
416,CIP24CERT2,"Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities."
417,CIP24ASSOC,"Associate degree in Liberal Arts And Sciences, General Studies And Humanities."
418,CIP24CERT4,"Award of at least two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities."
419,CIP24BACHL,"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities."
420,CIP25CERT1,Certificate of less than one academic year in Library Science.
421,CIP25CERT2,Certificate of at least one but less than two academic years in Library Science.
422,CIP25ASSOC,Associate degree in Library Science.
423,CIP25CERT4,Award of at least two but less than four academic years in Library Science.
424,CIP25BACHL,Bachelor's degree in Library Science.
425,CIP26CERT1,Certificate of less than one academic year in Biological And Biomedical Sciences.
426,CIP26CERT2,Certificate of at least one but less than two academic years in Biological And Biomedical Sciences.
427,CIP26ASSOC,Associate degree in Biological And Biomedical Sciences.
428,CIP26CERT4,Award of at least two but less than four academic years in Biological And Biomedical Sciences.
429,CIP26BACHL,Bachelor's degree in Biological And Biomedical Sciences.
430,CIP27CERT1,Certificate of less than one academic year in Mathematics And Statistics.
431,CIP27CERT2,Certificate of at least one but less than two academic years in Mathematics And Statistics.
432,CIP27ASSOC,Associate degree in Mathematics And Statistics.
433,CIP27CERT4,Award of at least two but less than four academic years in Mathematics And Statistics.
434,CIP27BACHL,Bachelor's degree in Mathematics And Statistics.
435,CIP29CERT1,Certificate of less than one academic year in Military Technologies And Applied Sciences.
436,CIP29CERT2,Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences.
437,CIP29ASSOC,Associate degree in Military Technologies And Applied Sciences.
438,CIP29CERT4,Award of at least two but less than four academic years in Military Technologies And Applied Sciences.
439,CIP29BACHL,Bachelor's degree in Military Technologies And Applied Sciences.
440,CIP30CERT1,Certificate of less than one academic year in Multi/Interdisciplinary Studies.
441,CIP30CERT2,Certificate of at least one but less than two academic years in Multi/Interdisciplinary Studies.
442,CIP30ASSOC,Associate degree in Multi/Interdisciplinary Studies.
443,CIP30CERT4,Award of at least two but less than four academic years in Multi/Interdisciplinary Studies.
444,CIP30BACHL,Bachelor's degree in Multi/Interdisciplinary Studies.
445,CIP31CERT1,"Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies."
446,CIP31CERT2,"Certificate of at least one but less than two academic years in Parks, Recreation, Leisure, And Fitness Studies."
447,CIP31ASSOC,"Associate degree in Parks, Recreation, Leisure, And Fitness Studies."
448,CIP31CERT4,"Award of at least two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies."
449,CIP31BACHL,"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies."
450,CIP38CERT1,Certificate of less than one academic year in Philosophy And Religious Studies.
451,CIP38CERT2,Certificate of at least one but less than two academic years in Philosophy And Religious Studies.
452,CIP38ASSOC,Associate degree in Philosophy And Religious Studies.
453,CIP38CERT4,Award of at least two but less than four academic years in Philosophy And Religious Studies.
454,CIP38BACHL,Bachelor's degree in Philosophy And Religious Studies.
455,CIP39CERT1,Certificate of less than one academic year in Theology And Religious Vocations.
456,CIP39CERT2,Certificate of at least one but less than two academic years in Theology And Religious Vocations.
457,CIP39ASSOC,Associate degree in Theology And Religious Vocations.
458,CIP39CERT4,Award of at least two but less than four academic years in Theology And Religious Vocations.
459,CIP39BACHL,Bachelor's degree in Theology And Religious Vocations.
460,CIP40CERT1,Certificate of less than one academic year in Physical Sciences.
461,CIP40CERT2,Certificate of at least one but less than two academic years in Physical Sciences.
462,CIP40ASSOC,Associate degree in Physical Sciences.
463,CIP40CERT4,Award of at least two but less than four academic years in Physical Sciences.
464,CIP40BACHL,Bachelor's degree in Physical Sciences.
465,CIP41CERT1,Certificate of less than one academic year in Science Technologies/Technicians.
466,CIP41CERT2,Certificate of at least one but less than two academic years in Science Technologies/Technicians.
467,CIP41ASSOC,Associate degree in Science Technologies/Technicians.
468,CIP41CERT4,Award of at least two but less than four academic years in Science Technologies/Technicians.
469,CIP41BACHL,Bachelor's degree in Science Technologies/Technicians.
470,CIP42CERT1,Certificate of less than one academic year in Psychology.
471,CIP42CERT2,Certificate of at least one but less than two academic years in Psychology.
472,CIP42ASSOC,Associate degree in Psychology.
473,CIP42CERT4,Award of at least two but less than four academic years in Psychology.
474,CIP42BACHL,Bachelor's degree in Psychology.
475,CIP43CERT1,"Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
476,CIP43CERT2,"Certificate of at least one but less than two academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
477,CIP43ASSOC,"Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
478,CIP43CERT4,"Award of at least two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
479,CIP43BACHL,"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
480,CIP44CERT1,Certificate of less than one academic year in Public Administration And Social Service Professions.
481,CIP44CERT2,Certificate of at least one but less than two academic years in Public Administration And Social Service Professions.
482,CIP44ASSOC,Associate degree in Public Administration And Social Service Professions.
483,CIP44CERT4,Award of at least two but less than four academic years in Public Administration And Social Service Professions.
484,CIP44BACHL,Bachelor's degree in Public Administration And Social Service Professions.
485,CIP45CERT1,Certificate of less than one academic year in Social Sciences.
486,CIP45CERT2,Certificate of at least one but less than two academic years in Social Sciences.
487,CIP45ASSOC,Associate degree in Social Sciences.
488,CIP45CERT4,Award of at least two but less than four academic years in Social Sciences.
489,CIP45BACHL,Bachelor's degree in Social Sciences.
490,CIP46CERT1,Certificate of less than one academic year in Construction Trades.
491,CIP46CERT2,Certificate of at least one but less than two academic years in Construction Trades.
492,CIP46ASSOC,Associate degree in Construction Trades.
493,CIP46CERT4,Award of at least two but less than four academic years in Construction Trades.
494,CIP46BACHL,Bachelor's degree in Construction Trades.
495,CIP47CERT1,Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians.
496,CIP47CERT2,Certificate of at least one but less than two academic years in Mechanic And Repair Technologies/Technicians.
497,CIP47ASSOC,Associate degree in Mechanic And Repair Technologies/Technicians.
498,CIP47CERT4,Award of at least two but less than four academic years in Mechanic And Repair Technologies/Technicians.
499,CIP47BACHL,Bachelor's degree in Mechanic And Repair Technologies/Technicians.
500,CIP48CERT1,Certificate of less than one academic year in Precision Production.
501,CIP48CERT2,Certificate of at least one but less than two academic years in Precision Production.
502,CIP48ASSOC,Associate degree in Precision Production.
503,CIP48CERT4,Award of at least two but less than four academic years in Precision Production.
504,CIP48BACHL,Bachelor's degree in Precision Production.
505,CIP49CERT1,Certificate of less than one academic year in Transportation And Materials Moving.
506,CIP49CERT2,Certificate of at least one but less than two academic years in Transportation And Materials Moving.
507,CIP49ASSOC,Associate degree in Transportation And Materials Moving.
508,CIP49CERT4,Award of at least two but less than four academic years in Transportation And Materials Moving.
509,CIP49BACHL,Bachelor's degree in Transportation And Materials Moving.
510,CIP50CERT1,Certificate of less than one academic year in Visual And Performing Arts.
511,CIP50CERT2,Certificate of at least one but less than two academic years in Visual And Performing Arts.
512,CIP50ASSOC,Associate degree in Visual And Performing Arts.
513,CIP50CERT4,Award of at least two but less than four academic years in Visual And Performing Arts.
514,CIP50BACHL,Bachelor's degree in Visual And Performing Arts.
515,CIP51CERT1,Certificate of less than one academic year in Health Professions And Related Programs.
516,CIP51CERT2,Certificate of at least one but less than two academic years in Health Professions And Related Programs.
517,CIP51ASSOC,Associate degree in Health Professions And Related Programs.
518,CIP51CERT4,Award of at least two but less than four academic years in Health Professions And Related Programs.
519,CIP51BACHL,Bachelor's degree in Health Professions And Related Programs.
520,CIP52CERT1,"Certificate of less than one academic year in Business, Management, Marketing, And Related Support Services."
521,CIP52CERT2,"Certificate of at least one but less than two academic years in Business, Management, Marketing, And Related Support Services."
522,CIP52ASSOC,"Associate degree in Business, Management, Marketing, And Related Support Services."
523,CIP52CERT4,"Award of at least two but less than four academic years in Business, Management, Marketing, And Related Support Services."
524,CIP52BACHL,"Bachelor's degree in Business, Management, Marketing, And Related Support Services."
525,CIP54CERT1,Certificate of less than one academic year in History.
526,CIP54CERT2,Certificate of at least one but less than two academic years in History.
527,CIP54ASSOC,Associate degree in History.
528,CIP54CERT4,Award of at least two but less than four academic years in History.
529,CIP54BACHL,Bachelor's degree in History.
530,DISTANCEONLY,Flag for distance-education-only education
532,UGDS,Enrollment of undergraduate certificate/degree-seeking students
533,UG,Enrollment of all undergraduate students
534,UGDS_WHITE,Total share of enrollment of undergraduate degree-seeking students who are white
535,UGDS_BLACK,Total share of enrollment of undergraduate degree-seeking students who are black
536,UGDS_HISP,Total share of enrollment of undergraduate degree-seeking students who are Hispanic
537,UGDS_ASIAN,Total share of enrollment of undergraduate degree-seeking students who are Asian
538,UGDS_AIAN,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
539,UGDS_NHPI,Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander
540,UGDS_2MOR,Total share of enrollment of undergraduate degree-seeking students who are two or more races
541,UGDS_NRA,Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens
542,UGDS_UNKN,Total share of enrollment of undergraduate degree-seeking students whose race is unknown
543,UGDS_WHITENH,Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic
544,UGDS_BLACKNH,Total share of enrollment of undergraduate degree-seeking students who are black non-Hispanic
545,UGDS_API,Total share of enrollment of undergraduate degree-seeking students who are Asian/Pacific Islander
546,UGDS_AIANOLD,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
547,UGDS_HISPOLD,Total share of enrollment of undergraduate degree-seeking students who are Hispanic
548,UG_NRA,Total share of enrollment of undergraduate students who are non-resident aliens
549,UG_UNKN,Total share of enrollment of undergraduate students whose race is unknown
550,UG_WHITENH,Total share of enrollment of undergraduate students who are white non-Hispanic
551,UG_BLACKNH,Total share of enrollment of undergraduate students who are black non-Hispanic
552,UG_API,Total share of enrollment of undergraduate students who are Asian/Pacific Islander
553,UG_AIANOLD,Total share of enrollment of undergraduate students who are American Indian/Alaska Native
554,UG_HISPOLD,Total share of enrollment of undergraduate students who are Hispanic
555,PPTUG_EF,"Share of undergraduate, degree-/certificate-seeking students who are part-time"
556,PPTUG_EF2,"Share of undergraduate, degree-/certificate-seeking students who are part-time"
557,CURROPER,"Flag for currently operating institution, 0=closed, 1=operating"
559,NPT4_PUB,Average net price for Title IV institutions (public institutions)
560,NPT4_PRIV,Average net price for Title IV institutions (private for-profit and nonprofit institutions)
561,NPT4_PROG,Average net price for the largest program at the institution for program-year institutions
562,NPT4_OTHER,"Average net price for the largest program at the institution for schools on ""other"" academic year calendars"
563,NPT41_PUB,"Average net price for $0-$30,000 family income (public institutions)"
564,NPT42_PUB,"Average net price for $30,001-$48,000 family income (public institutions)"
565,NPT43_PUB,"Average net price for $48,001-$75,000 family income (public institutions)"
566,NPT44_PUB,"Average net price for $75,001-$110,000 family income (public institutions)"
567,NPT45_PUB,"Average net price for $110,000+ family income (public institutions)"
568,NPT41_PRIV,"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)"
569,NPT42_PRIV,"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
570,NPT43_PRIV,"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
571,NPT44_PRIV,"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
572,NPT45_PRIV,"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)"
573,NPT41_PROG,"Average net price for $0-$30,000 family income (program-year institutions)"
574,NPT42_PROG,"Average net price for $30,001-$48,000 family income (program-year institutions)"
575,NPT43_PROG,"Average net price for $48,001-$75,000 family income (program-year institutions)"
576,NPT44_PROG,"Average net price for $75,001-$110,000 family income (program-year institutions)"
577,NPT45_PROG,"Average net price for $110,000+ family income (program-year institutions)"
578,NPT41_OTHER,"Average net price for $0-$30,000 family income (other academic calendar institutions)"
579,NPT42_OTHER,"Average net price for $30,001-$48,000 family income (other academic calendar institutions)"
580,NPT43_OTHER,"Average net price for $48,001-$75,000 family income (other academic calendar institutions)"
581,NPT44_OTHER,"Average net price for $75,001-$110,000 family income (other academic calendar institutions)"
582,NPT45_OTHER,"Average net price for $110,000+ family income (other academic calendar institutions)"
583,NPT4_048_PUB,"Average net price for $0-$48,000 family income (public institutions)"
584,NPT4_048_PRIV,"Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)"
585,NPT4_048_PROG,"Average net price for $0-$48,000 family income (program-year institutions)"
586,NPT4_048_OTHER,"Average net price for $0-$48,000 family income (other academic calendar institutions)"
587,NPT4_3075_PUB,"Average net price for $30,001-$75,000 family income (public institutions)"
588,NPT4_3075_PRIV,"Average net price for $30,001-$75,000 family income (private for-profit and nonprofit institutions)"
589,NPT4_75UP_PUB,"Average net price for $75,000+ family income (public institutions)"
590,NPT4_75UP_PRIV,"Average net price for $75,000+ family income (private for-profit and nonprofit institutions)"
591,NPT4_3075_PROG,"Average net price for $30,001-$75,000 family income (program-year institutions)"
592,NPT4_3075_OTHER,"Average net price for $30,001-$75,000 family income (other academic calendar institutions)"
593,NPT4_75UP_PROG,"Average net price for $75,000+ family income (program-year institutions)"
594,NPT4_75UP_OTHER,"Average net price for $75,000+ family income (other academic calendar institutions)"
595,NUM4_PUB,Number of Title IV students (public institutions)
596,NUM4_PRIV,Number of Title IV students (private for-profit and nonprofit institutions)
597,NUM4_PROG,Number of Title IV students (program-year institutions)
598,NUM4_OTHER,Number of Title IV students (other academic calendar institutions)
599,NUM41_PUB,"Number of Title IV students, $0-$30,000 family income (public institutions)"
600,NUM42_PUB,"Number of Title IV students, $30,001-$48,000 family income (public institutions)"
601,NUM43_PUB,"Number of Title IV students, $48,001-$75,000 family income (public institutions)"
602,NUM44_PUB,"Number of Title IV students, $75,001-$110,000 family income (public institutions)"
603,NUM45_PUB,"Number of Title IV students, $110,000+ family income (public institutions)"
604,NUM41_PRIV,"Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)"
605,NUM42_PRIV,"Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
606,NUM43_PRIV,"Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
607,NUM44_PRIV,"Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
608,NUM45_PRIV,"Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)"
609,NUM41_PROG,"Number of Title IV students, $0-$30,000 family income (program-year institutions)"
610,NUM42_PROG,"Number of Title IV students, $30,001-$48,000 family income (program-year institutions)"
611,NUM43_PROG,"Number of Title IV students, $48,001-$75,000 family income (program-year institutions)"
612,NUM44_PROG,"Number of Title IV students, $75,001-$110,000 family income (program-year institutions)"
613,NUM45_PROG,"Number of Title IV students, $110,000+ family income (program-year institutions)"
614,NUM41_OTHER,"Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)"
615,NUM42_OTHER,"Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)"
616,NUM43_OTHER,"Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)"
617,NUM44_OTHER,"Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)"
618,NUM45_OTHER,"Number of Title IV students, $110,000+ family income (other academic calendar institutions)"
619,COSTT4_A,Average cost of attendance (academic year institutions)
620,COSTT4_P,Average cost of attendance (program-year institutions)
621,TUITIONFEE_IN,In-state tuition and fees
622,TUITIONFEE_OUT,Out-of-state tuition and fees
623,TUITIONFEE_PROG,Tuition and fees for program-year institutions
624,TUITFTE,Net tuition revenue per full-time equivalent student
625,INEXPFTE,Instructional expenditures per full-time equivalent student
626,AVGFACSAL,Average faculty salary
627,PFTFAC,Proportion of faculty that is full-time
628,PCTPELL,Percentage of undergraduates who receive a Pell Grant
629,C150_4,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)"
630,C150_L4,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)"
631,C150_4_POOLED,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion), pooled for two year rolling averages"
632,C150_L4_POOLED,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion), pooled for two year rolling averages"
