Variable,n,nmiss,n_pct,nmiss_pct,Type,dev_cat,Definition
CIP12CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Personal And Culinary Services.
CIP12CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Personal And Culinary Services.
CIP12CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Personal And Culinary Services.
CIP13ASSOC,5879,0,1,0,factor,academics,Associate degree in Education.
CIP13BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Education.
CIP13CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Education.
CIP13CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Education.
CIP13CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Education.
CIP14ASSOC,5879,0,1,0,factor,academics,Associate degree in Engineering.
CIP14BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Engineering.
CIP14CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Engineering.
CIP14CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Engineering.
CIP14CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Engineering.
CIP15ASSOC,5879,0,1,0,factor,academics,Associate degree in Engineering Technologies And Engineering-Related Fields.
CIP15BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Engineering Technologies And Engineering-Related Fields.
CIP15CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Engineering Technologies And Engineering-Related Fields.
CIP15CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Engineering Technologies And Engineering-Related Fields.
CIP15CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Engineering Technologies And Engineering-Related Fields.
CIP16ASSOC,5879,0,1,0,factor,academics,"Associate degree in Foreign Languages, Literatures, And Linguistics."
CIP16BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Foreign Languages, Literatures, And Linguistics."
CIP16CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Foreign Languages, Literatures, And Linguistics."
CIP16CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Foreign Languages, Literatures, And Linguistics."
CIP16CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Foreign Languages, Literatures, And Linguistics."
CIP19ASSOC,5879,0,1,0,factor,academics,Associate degree in Family And Consumer Sciences/Human Sciences.
CIP19BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Family And Consumer Sciences/Human Sciences.
CIP19CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Family And Consumer Sciences/Human Sciences.
CIP19CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Family And Consumer Sciences/Human Sciences.
CIP19CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Family And Consumer Sciences/Human Sciences.
CIP22ASSOC,5879,0,1,0,factor,academics,Associate degree in Legal Professions And Studies.
CIP22BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Legal Professions And Studies.
CIP22CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Legal Professions And Studies.
CIP22CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Legal Professions And Studies.
CIP22CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Legal Professions And Studies.
CIP23ASSOC,5879,0,1,0,factor,academics,Associate degree in English Language And Literature/Letters.
CIP23BACHL,5879,0,1,0,factor,academics,Bachelor's degree in English Language And Literature/Letters.
CIP23CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in English Language And Literature/Letters.
CIP23CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in English Language And Literature/Letters.
CIP23CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in English Language And Literature/Letters.
CIP24ASSOC,5879,0,1,0,factor,academics,"Associate degree in Liberal Arts And Sciences, General Studies And Humanities."
CIP24BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities."
CIP24CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities."
CIP24CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Liberal Arts And Sciences, General Studies And Humanities."
CIP24CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Liberal Arts And Sciences, General Studies And Humanities."
CIP25ASSOC,5879,0,1,0,factor,academics,Associate degree in Library Science.
CIP25BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Library Science.
CIP25CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Library Science.
CIP25CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Library Science.
CIP25CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Library Science.
CIP26ASSOC,5879,0,1,0,factor,academics,Associate degree in Biological And Biomedical Sciences.
CIP26BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Biological And Biomedical Sciences.
CIP26CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Biological And Biomedical Sciences.
CIP26CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Biological And Biomedical Sciences.
CIP26CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Biological And Biomedical Sciences.
CIP27ASSOC,5879,0,1,0,factor,academics,Associate degree in Mathematics And Statistics.
CIP27BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Mathematics And Statistics.
CIP27CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Mathematics And Statistics.
CIP27CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Mathematics And Statistics.
CIP27CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Mathematics And Statistics.
CIP29ASSOC,5879,0,1,0,factor,academics,Associate degree in Military Technologies And Applied Sciences.
CIP29BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Military Technologies And Applied Sciences.
CIP29CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Military Technologies And Applied Sciences.
CIP29CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences.
CIP29CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Military Technologies And Applied Sciences.
CIP30ASSOC,5879,0,1,0,factor,academics,Associate degree in Multi/Interdisciplinary Studies.
CIP30BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Multi/Interdisciplinary Studies.
CIP30CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Multi/Interdisciplinary Studies.
CIP30CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Multi/Interdisciplinary Studies.
CIP30CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Multi/Interdisciplinary Studies.
CIP31ASSOC,5879,0,1,0,factor,academics,"Associate degree in Parks, Recreation, Leisure, And Fitness Studies."
CIP31BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies."
CIP31CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Parks, Recreation, Leisure, And Fitness Studies."
CIP31CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Parks, Recreation, Leisure, And Fitness Studies."
CIP31CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Parks, Recreation, Leisure, And Fitness Studies."
CIP38ASSOC,5879,0,1,0,factor,academics,Associate degree in Philosophy And Religious Studies.
CIP38BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Philosophy And Religious Studies.
CIP38CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Philosophy And Religious Studies.
CIP38CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Philosophy And Religious Studies.
CIP38CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Philosophy And Religious Studies.
CIP39ASSOC,5879,0,1,0,factor,academics,Associate degree in Theology And Religious Vocations.
CIP39BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Theology And Religious Vocations.
CIP39CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Theology And Religious Vocations.
CIP39CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Theology And Religious Vocations.
CIP39CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Theology And Religious Vocations.
CIP40ASSOC,5879,0,1,0,factor,academics,Associate degree in Physical Sciences.
CIP40BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Physical Sciences.
CIP40CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Physical Sciences.
CIP40CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Physical Sciences.
CIP40CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Physical Sciences.
CIP41ASSOC,5879,0,1,0,factor,academics,Associate degree in Science Technologies/Technicians.
CIP41BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Science Technologies/Technicians.
CIP41CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Science Technologies/Technicians.
CIP41CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Science Technologies/Technicians.
CIP41CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Science Technologies/Technicians.
CIP42ASSOC,5879,0,1,0,factor,academics,Associate degree in Psychology.
CIP42BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Psychology.
CIP42CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Psychology.
CIP42CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Psychology.
CIP42CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Psychology.
CIP43ASSOC,5879,0,1,0,factor,academics,"Associate degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
CIP43BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
CIP43CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
CIP43CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
CIP43CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
CIP44ASSOC,5879,0,1,0,factor,academics,Associate degree in Public Administration And Social Service Professions.
CIP44BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Public Administration And Social Service Professions.
CIP44CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Public Administration And Social Service Professions.
CIP44CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Public Administration And Social Service Professions.
CIP44CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Public Administration And Social Service Professions.
CIP45ASSOC,5879,0,1,0,factor,academics,Associate degree in Social Sciences.
CIP45BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Social Sciences.
CIP45CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Social Sciences.
CIP45CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Social Sciences.
CIP45CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Social Sciences.
CIP46ASSOC,5879,0,1,0,factor,academics,Associate degree in Construction Trades.
CIP46BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Construction Trades.
CIP46CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Construction Trades.
CIP46CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Construction Trades.
CIP46CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Construction Trades.
CIP47ASSOC,5879,0,1,0,factor,academics,Associate degree in Mechanic And Repair Technologies/Technicians.
CIP47BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Mechanic And Repair Technologies/Technicians.
CIP47CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Mechanic And Repair Technologies/Technicians.
CIP47CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Mechanic And Repair Technologies/Technicians.
CIP47CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Mechanic And Repair Technologies/Technicians.
CIP48ASSOC,5879,0,1,0,factor,academics,Associate degree in Precision Production.
CIP48BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Precision Production.
CIP48CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Precision Production.
CIP48CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Precision Production.
CIP48CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Precision Production.
CIP49ASSOC,5879,0,1,0,factor,academics,Associate degree in Transportation And Materials Moving.
CIP49BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Transportation And Materials Moving.
CIP49CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Transportation And Materials Moving.
CIP49CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Transportation And Materials Moving.
CIP49CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Transportation And Materials Moving.
CIP50ASSOC,5879,0,1,0,factor,academics,Associate degree in Visual And Performing Arts.
CIP50BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Visual And Performing Arts.
CIP50CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Visual And Performing Arts.
CIP50CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Visual And Performing Arts.
CIP50CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Visual And Performing Arts.
CIP51ASSOC,5879,0,1,0,factor,academics,Associate degree in Health Professions And Related Programs.
CIP51BACHL,5879,0,1,0,factor,academics,Bachelor's degree in Health Professions And Related Programs.
CIP51CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in Health Professions And Related Programs.
CIP51CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in Health Professions And Related Programs.
CIP51CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in Health Professions And Related Programs.
CIP52ASSOC,5879,0,1,0,factor,academics,"Associate degree in Business, Management, Marketing, And Related Support Services."
CIP52BACHL,5879,0,1,0,factor,academics,"Bachelor's degree in Business, Management, Marketing, And Related Support Services."
CIP52CERT1,5879,0,1,0,factor,academics,"Certificate of less than one academic year in Business, Management, Marketing, And Related Support Services."
CIP52CERT2,5879,0,1,0,factor,academics,"Certificate of at least one but less than two academic years in Business, Management, Marketing, And Related Support Services."
CIP52CERT4,5879,0,1,0,factor,academics,"Award of at least two but less than four academic years in Business, Management, Marketing, And Related Support Services."
CIP54ASSOC,5879,0,1,0,factor,academics,Associate degree in History.
CIP54BACHL,5879,0,1,0,factor,academics,Bachelor's degree in History.
CIP54CERT1,5879,0,1,0,factor,academics,Certificate of less than one academic year in History.
CIP54CERT2,5879,0,1,0,factor,academics,Certificate of at least one but less than two academic years in History.
CIP54CERT4,5879,0,1,0,factor,academics,Award of at least two but less than four academic years in History.
